id,task,status,acceptance_criteria,validation_command,completed_at,retry_count,notes
1,Scaffold frontend-hotspots child task,DONE,"SPEC.md TODO.csv PROGRESS.md exist","test -f .codex-tasks/20260410-project-optimization-epic/tasks/20260410-frontend-hotspots/SPEC.md && test -f .codex-tasks/20260410-project-optimization-epic/tasks/20260410-frontend-hotspots/TODO.csv && test -f .codex-tasks/20260410-project-optimization-epic/tasks/20260410-frontend-hotspots/PROGRESS.md",2026-04-10 15:10,0,首轮目标锁定为 profile/api-config/hooks.ts 拆分
2,Extract api-config pure helpers and persistence layer,DONE,"hooks.ts 中的纯 helper 与 fetch/save 逻辑已迁出独立模块","npm run typecheck",2026-04-10 15:31,0,已新增 config-helpers/useApiConfigPersistence 并移除 hooks.ts 中无效 ref；hooks.ts 794->84
3,Extract provider/model/default-model mutation callbacks,DONE,"useProviders 改为组合 hook，复杂 mutation 回调迁到独立模块","npx vitest run tests/unit/api-config/use-providers-order.test.ts tests/unit/api-config/api-config-state-helpers.test.ts",2026-04-10 15:31,0,已新增 useApiConfigMutations；并继续拆 useProviderCardState 832->442 与 ScriptViewAssetsPanel 888->786
4,Run frontend-hotspots first-slice validation and sync epic status,DONE,"首轮 profile/api-config 拆分验证通过并回填父子任务日志","npm run typecheck && npx vitest run tests/unit/api-config/use-providers-order.test.ts tests/unit/api-config/api-config-state-helpers.test.ts",2026-04-10 15:32,0,已完成 profile/api-config 首轮验证并回填子任务状态
5,Split ScriptViewAssetsPanel into section/state modules,DONE,"ScriptViewAssetsPanel 主文件收敛为编排层，角色/场景/状态逻辑迁出模块","npm run typecheck && npx vitest run tests/unit/script-view/script-view-assets-panel.test.ts",2026-04-10 15:40,0,主面板 888->223；新增 CharactersSection、LocationsSection、useScriptViewAssetPanelState、draft/selection helpers；task-scoped script-view 热点已从 file-line-count 清单移除
6,Reduce remaining profile/workspace container hotspots under budget,DONE,"useProviderCardState、ApiConfigTabContainer、AssetsStage 回到行数预算内","npm run typecheck && npx vitest run tests/unit/api-config/provider-card-protocol-probe.test.ts tests/unit/api-config/provider-card-pricing-form.test.ts tests/unit/api-config/provider-card-assistant-saved-label.test.ts tests/unit/api-config/provider-card-shell.test.ts tests/unit/api-config/provider-card-tutorial-modal.test.ts tests/unit/api-config/use-providers-order.test.ts tests/unit/api-config/api-config-state-helpers.test.ts tests/unit/script-view/script-view-assets-panel.test.ts",2026-04-10 15:46,0,useProviderCardState 832->397；ApiConfigTabContainer 513->289；AssetsStage 538->487；repo 级 file-line-count 仍失败，但当前子任务命中的 profile/workspace 热点已清除
7,Trim adjacent shared UI hotspots surfaced by file-line-count,DONE,"ConfigEditModal、asset-hub CharacterCard、LLMStageStreamCard 回到预算内","npm run typecheck && npx vitest run tests/unit/components/asset-hub-card-aspect-ratio.test.ts tests/unit/components/llm-stage-stream-card-error.test.ts tests/unit/helpers/llm-stage-stream-card-output.test.ts",2026-04-10 16:07,0,ConfigEditModal 514->474；workspace/asset-hub CharacterCard 521->491；LLMStageStreamCard 512->480；repo 级清单剩余 shared UI/query hooks/worker handlers/mutations
8,Continue shrinking shared UI guard hits around assistant, dropdown, and picker,DONE,"AssistantChatModal、model-dropdown-variants、model-dropdown-innovative、GlobalAssetPicker 回到预算内","npm run typecheck && npx vitest run tests/unit/api-config/assistant-chat-modal-content.test.ts tests/unit/components/global-asset-picker-preview.test.ts tests/unit/components/llm-stage-stream-card-error.test.ts tests/unit/helpers/llm-stage-stream-card-output.test.ts",2026-04-10 16:22,0,AssistantChatModal 528->491；model-dropdown-variants 543->466；model-dropdown-innovative 588->495；GlobalAssetPicker 559->496；repo 级 component 清单当前只剩 icons/custom.tsx
9,Clear remaining component and hook guard hits,DONE,"icons/custom、useTaskTargetStateMap、useAssets、run-stream/state-machine 回到预算内","npm run typecheck && npx vitest run tests/unit/components/global-asset-picker-preview.test.ts tests/unit/helpers/run-stream-state-machine.test.ts",2026-04-10 16:43,0,icons/custom 733->438+291 split；useTaskTargetStateMap 440->87+398 split；useAssets 495->170+334 split；state-machine 587->263+351 split；file-line-count 现在只剩 worker-handler 和 mutation
10,Start shrinking worker-handler guard hits,DONE,"reference-to-character 从 worker-handler 清单移除","npm run typecheck && npx vitest run tests/unit/helpers/reference-to-character-helpers.test.ts",2026-04-10 16:45,0,reference-to-character 304->202；新增 reference-to-character-generate.ts；file-line-count 剩余 6 个 worker-handler 与 6 个 mutation
11,Clear mutation guard hits and continue worker-handler reduction,DONE,"mutation 清单清空，voice-analyze/analyze-novel/image-task-handlers-core/script-to-storyboard-helpers 从失败清单移除","npm run typecheck && npm run check:file-line-count && npx vitest run tests/unit/worker/image-task-handlers-core.test.ts",2026-04-10 17:05,0,asset-hub-character/location/storyboard-panel/location-management/location-image/character-base mutations 已拆分；voice-analyze 345->274；analyze-novel 392->266；image-task-handlers-core 370->283；script-to-storyboard-helpers 441->119+287 split；file-line-count 仅剩 script-to-storyboard-atomic-retry、script-to-storyboard、story-to-script
12,Finish storyboard/script worker hotspot cleanup,DONE,"script-to-storyboard-atomic-retry/script-to-storyboard/story-to-script 退出失败清单，file-line-count 全绿","npm run typecheck && npm run check:file-line-count && npx vitest run tests/unit/worker/script-to-storyboard-atomic-retry.test.ts tests/unit/worker/script-to-storyboard.test.ts tests/unit/worker/script-to-storyboard-orchestrator.retry.test.ts tests/unit/worker/story-to-script.test.ts tests/unit/worker/story-to-script-orchestrator.retry.test.ts",2026-04-10 17:22,0,script-to-storyboard-atomic-retry 538->251+273 split；script-to-storyboard 564->230 并新增 task/pipeline helpers；story-to-script 609->223 并新增 task/retry/pipeline helpers；23 个相关 worker 单测通过；file-line-count 已 PASS
